# {
#   "profile": "Insectendoos Specimen Import",
#   "version": "1.0",
#   "delimiter": ";",
#   "ignoreEmptyRows": true,
#   "isConfidential": false,
#   "steps": [
#     {
#       "step": 1,
#       "target": "parent_object",
#       "contextKey": "DoosId",
#       "labelTemplate": "Insectendoos: {0}",
#       "objectTypeId": "019fcd20-b442-755f-af50-9cdf9716990d",
#       "parameters": [
#         { "parameterId": "019fc74c-cf8c-74ff-a3b6-b6d21c651a19", "column": 1 }
#       ]
#     },
#     {
#       "step": 2,
#       "target": "child_object",
#       "labelTemplate": "Specimen groep: {2} {3}",
#       "objectTypeId": "019fcd20-b56f-76ae-9bf0-f98a0354b7ca",
#       "relations": [
#         { 
#           "relationTypeId": "019fad01-ca30-769d-8c9c-6fc70fa9db0a", 
#           "relatedContextKey": "DoosId", 
#           "direction": "outgoing" 
#         }
#       ],
#       "parameters": [
#         { "parameterId": "019fad6f-c149-7795-b3e5-751c8b2b7949", "column": 4 }
#       ]
#     }
#   ]
# }
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Metaxya";"meridionalis";3
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Metaxya";"marina";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Dinaraea";"angustula";4
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Dinaraea";"aequata";5
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Dinaraea";"linearis";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Bessobia";"occulta";3
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Traumoecia";"picipes";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Traumoecia";"angusticollis";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Microdota";"palleola";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Microdota";"amicula";3
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Microdota";"parvicornis";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Microdota";"talpa";2
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Atheta";"nigricornis";3
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Atheta";"harwoodi";1
;;;;
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"divisa";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"coriaria";2
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"gagatina";4
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"myrmecobia";2
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"sodalis";2
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"pallidicornis";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"nigritula";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"crassicornis";8
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"xanthopus";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"trinotata";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"triangulum";3
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Atheta";"euryptera";2
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Hypatheta";"pertyi";5
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Hypatheta";"castanoptera";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Liogluta";"hypnorum";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Liogluta";"pagana";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Liogluta";"oblongiuscula";2
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Megista";"graminicola";3
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Dimetrota";"atramentaria";3
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Dimetrota";"episcopalis";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Dimetrota";"intermedia";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Dimetrota";"marcida";1
"15-15: 17.10.20L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 19";"Dimetrota";"nigripes";8
;;;;
